,InvoiceNo,Description,UnitPrice:,Quantity
0,82729877,ADIGAZELLE,79.2,1
1,82729877,CONS CTAS RENEW HI,69.0,1
2,82729877,‘SCHUH PATASOLE 1112,3.75,1
